Kinase,Model,CV Mean R²,CV Std R²,Test R²,Test MSE
O00418,MLP,-0.9962515306585796,1.0863268638143255,0.17806260172228128,1.4865783029071704
O14578,Lasso,0.20858388556114954,0.19112436444940378,0.2976901283165727,0.37118102498828665
O15075,Lasso,-0.05141529179517135,0.05501650383427429,-0.042251033588086795,0.2226210240501872
O43318,SVR,-0.7480405752006765,0.5382230240923433,0.10173658759722082,0.5858152526492626
O43353,MLP,-0.545985645827969,0.8595484482015899,0.3191969063270361,0.44071653374883435
O43683,MLP,-3.052682395723124,6.1304056922814425,0.08100640893263655,2.1238426096142944
O60885,PLS,-0.7821151274785756,1.0584895521920394,0.21399693270383213,0.32928146684344434
O75385,Lasso,-0.5662853413150777,0.6490069862814678,0.10932260473930955,0.10982158253407263
O75676,SVR,-0.8205215708925057,1.164729262040284,-0.3793473028328578,0.4991420656435624
O76039,XGBoost,-1.4617110587438185,0.9495269250599147,0.13260625517067048,0.9607352342864757
O94804,RandomForest,-0.41361406136251705,0.22150458078352353,0.2713087917662492,0.41430220302302645
O94806,MLP,-0.3439313240779912,0.3651353550723636,0.053173195858420064,0.8377235191433285
O94921,SVR,-0.11396480958598076,0.28237308795230204,0.2600999873534271,0.1972188961435933
O95819,Lasso,-0.485641339004793,0.4817351909980696,-0.049111792029173484,0.40596737595858473
O95835,ElasticNet,-0.4445295290109662,0.4021231969128951,0.07703566179595733,0.5326688899061418
O96013,MLP,0.414766143267293,0.1456448453807299,0.6620514183888163,0.37780239469907684
P00519,PLS,-0.25380509882948915,0.4176282545902576,0.28472158374069334,0.3840673166798458
P04049,Lasso,-0.46626875332161666,0.7601069187622608,0.0624790116089281,1.683259858962903
P04626,Lasso,-0.1272409274303835,0.19619472469908397,0.033950334674436755,0.705756623666482
P06493,MLP,-0.4969928072384603,0.6771123704825136,-0.055113553915292934,2.037997440393465
P10398,RandomForest,-0.3585946326502366,0.4401514857181077,-0.001538697675494527,0.2058432988188389
P11274,ElasticNet,0.1394711037277453,0.30982150832023253,0.3431802920382616,0.5948863383961513
P15056,RandomForest,-2.1321400378251036,3.9084343167341364,-0.38013910934052464,3.0597427074310075
P23443,RandomForest,-0.6060148247871213,0.5612540722738378,0.34576772501022934,0.9559732925072871
P27361,RandomForest,-0.13949228956336218,0.47007763813671655,0.08455288816362239,1.5737453709973481
P27448,Lasso,-0.025548400180783505,0.25541537566459044,0.1825314553217804,0.860493927751526
P30291,SVR,-0.20084723972472793,0.19779107345055055,0.09090628435272086,0.8004373562266961
P31749,RandomForest,-0.32477991395557854,0.4297635913201364,0.1469195849209487,1.976138039183101
P33981,PLS,-0.05758473011672027,0.455013744937172,0.18716123368313875,1.1104946049299655
P42345,SVR,-0.5274546682274999,0.4977344618675218,-0.1881008147822547,3.032692162029089
P49759,PLS,0.17113151423436884,0.14621346964370463,0.12598731825838583,0.5916904008323802
P49761,Lasso,0.08487833749662281,0.1677447159918928,-0.0106436480275518,0.7401335197984151
P49841,GradientBoosting,-5.972138732896452,9.131397852870338,0.14725507998664888,0.603755846012227
P51812,SVR,-0.19229088883418297,0.615455518521532,0.236875487075333,1.4273861572690376
P51957,ElasticNet,-1.2597648693047818,2.370043430903294,0.02628036729187655,0.13775644780577911
P54646,XGBoost,-1.6865099992768093,3.142120265865491,0.3431744301672802,0.8436168723447638
P78527,XGBoost,-0.366518056438487,0.5804522214230393,0.09956114701763064,0.5391392583698543
Q00536,MLP,-0.8543470826520035,1.6806642688167117,-0.11812519043751024,1.7125945013148107
Q00537,Lasso,-0.10977566983350888,0.35087161554437885,-0.06313996455552262,1.9770324000651112
Q05397,Lasso,-0.08000697829916056,0.3523084619068569,0.15590476567524636,0.5059663428422477
Q05655,PLS,-1.309489219044183,1.4462057787026679,0.17436562631793595,0.8127803510364829
Q06187,GradientBoosting,-0.027644537160443905,0.30678600861809646,0.5747030267920039,0.6822981359133813
Q07002,GradientBoosting,-0.8250563959427577,0.8313457375148646,-0.11806513680378483,1.9501524904605787
Q13043,Lasso,-0.6318307838885994,0.3988827841071387,-0.06463574294563013,0.6636111583399165
Q13131,Lasso,-0.28497320602362375,0.5952342681065381,0.12896542886939433,0.5142186229817728
Q13153,Lasso,-0.43035968633580346,0.6655844288653932,0.10783512612153379,1.9103678025005095
Q13177,XGBoost,-1.4370106960024995,1.9919381482027372,0.048057079407168635,0.5249609193705517
Q13233,SVR,-0.5324689633360669,0.36087068858082477,-0.14516905840648842,1.1657147946826476
Q13263,ElasticNet,-0.14440676856249868,0.678721353315839,-0.46367239370663116,0.08825911470129827
