UniprotID,GeneName,Perturbation,CellLine,KSEA_z_score
P12931,SRC,AZD5438,HL60,0.34967830579960846
P12931,SRC,FRAX486,HL60,-0.062325417313658094
P12931,SRC,Ku0063794,HL60,1.0047395919591044
P12931,SRC,PD153035,HL60,0.41557697458970005
P12931,SRC,PF3758309,HL60,-0.23665229191005147
P12931,SRC,Torin,HL60,1.708840577332771
P12931,SRC,Trametinib,HL60,0.36255024859273605
P12931,SRC,AZD1480,HL60,-0.29944791564268725
P12931,SRC,AZD5363,HL60,1.5258231879299993
P12931,SRC,BX912,HL60,0.45767590175182943
P12931,SRC,CHIR99021,HL60,-0.922989938363257
P12931,SRC,GSK2334470,HL60,0.21928108716112443
P12931,SRC,Ipatasertib,HL60,-1.1726647182933145
P12931,SRC,LY2090314,HL60,-0.15132033130239977
P12931,SRC,Tofacitinib,HL60,-0.34437540301725467
P12931,SRC,AZD6482,HL60,1.6809805096877193
P12931,SRC,CAL101,HL60,3.3032075204909987
P12931,SRC,GDC0941,HL60,0.7219085689096744
P12931,SRC,HS173,HL60,1.9544102994978743
P12931,SRC,PIK294,HL60,2.8115767387707016
P12931,SRC,TGX221,HL60,-0.10205566479477007
P12931,SRC,AZD8055,HL60,0.42887403779453404
P12931,SRC,GDC0994,HL60,-1.1277008578198542
P12931,SRC,JNK,HL60,-0.2483194103168635
P12931,SRC,LY2584702,HL60,1.7772621917060831
P12931,SRC,PH797804,HL60,0.16043555316084793
P12931,SRC,Selumetinib,HL60,0.4948584791020433
P12931,SRC,U73122,HL60,0.7914760862911961
P12931,SRC,Ulixertinib,HL60,-0.19043711886072062
P12931,SRC,Amuvatinib,HL60,-0.634786165312827
P12931,SRC,AZD3759,HL60,-0.5014960485412074
P12931,SRC,GSK690693,HL60,0.28318039830116903
P12931,SRC,JNJ,HL60,0.5293842049228322
P12931,SRC,KN62,HL60,0.13714614252123575
P12931,SRC,Linsitinib,HL60,-0.2801790681922822
P12931,SRC,LY2835219,HL60,-0.36834141142756216
P12931,SRC,Ribociclib,HL60,1.2947809841971412
P12931,SRC,AC220,HL60,1.1799590892519476
P12931,SRC,Edelfosine,HL60,1.932547956063311
P12931,SRC,GF109203X,HL60,1.5819014423060846
P12931,SRC,Go6976,HL60,1.3256118769050997
P12931,SRC,PF4708671,HL60,0.9319151354148634
P12931,SRC,SP600125,HL60,1.9244792727465694
P12931,SRC,TAK715,HL60,0.5254956929580784
P12931,SRC,TBCA,HL60,0.376097656334442
P12931,SRC,AT13148,HL60,0.9482244190096805
P12931,SRC,AZ20,HL60,-0.6517554667544511
P12931,SRC,AZD6738,HL60,-2.079036648879754
