Kinase,GeneName,Model,CV Mean R²,CV Std R²,Test R²,Test MSE
Q9UKE5,TNIK,SVR,0.9674785074223587,0.018931200878666,0.983224142972824,0.0084781245046945
Q96QT4,TRPM7,ElasticNet,0.7890207035684467,0.1234380750963359,0.9466045461075304,0.0383350263518553
Q9H0K1,SIK2,RandomForest,0.2399735216069203,0.2200279464888265,0.779219168798858,0.3236926613500654
Q15139,PRKD1,SVR,0.2094747275115599,0.6788993789463702,0.6995396115767067,0.5974421608256336
Q8TD19,NEK9,SVR,0.27347711227663,0.3951043279235798,0.6774869956721536,0.9455208363470846
O96013,PAK4,MLP,0.414766143267293,0.1456448453807299,0.6620514183888163,0.3778023946990768
Q15418,RPS6KA1,GradientBoosting,-0.6646860295210123,1.0698293510755676,0.6143910455828766,0.3928934397057995
Q96SB4,SRPK1,MLP,0.4659320098505528,0.2138279158686235,0.6066409512745738,0.8060740715939516
Q9Y2K2,SIK3,RandomForest,-0.0603639461858169,0.6327931285677887,0.5829372219837483,0.3519738151808851
Q06187,BTK,GradientBoosting,-0.0276445371604439,0.3067860086180964,0.5747030267920039,0.6822981359133813
