Kinase,GeneName,Model,CV Mean R²,CV Std R²,Test R²,Test MSE
Q8IVT5,KSR1,SVR,-0.6239623118895066,0.4892413836585793,-0.7479008546808563,3.440355919566015
Q13263,TRIM28,ElasticNet,-0.1444067685624986,0.678721353315839,-0.4636723937066311,0.0882591147012982
P15056,BRAF,RandomForest,-2.132140037825104,3.908434316734136,-0.3801391093405246,3.0597427074310075
O75676,RPS6KA4,SVR,-0.8205215708925057,1.164729262040284,-0.3793473028328578,0.4991420656435624
Q13555,CAMK2G,Lasso,0.0391867454377974,0.1788380060405583,-0.3416292999450099,0.4248544106945432
Q9NSY1,BMP2K,Lasso,-0.007895878877869,0.1059502637840963,-0.2150873558070372,0.2880081533305211
P42345,MTOR,SVR,-0.5274546682274999,0.4977344618675218,-0.1881008147822547,3.032692162029089
Q99759,MAP3K3,MLP,-0.2897536505217178,0.2674883566088796,-0.1682976381135514,2.527427838096373
Q13233,MAP3K1,SVR,-0.5324689633360669,0.3608706885808247,-0.1451690584064884,1.1657147946826476
Q00536,CDK16,MLP,-0.8543470826520035,1.6806642688167115,-0.1181251904375102,1.7125945013148107
