Kinase,Model,CV Mean R²,CV Std R²,Test R²,Test MSE
O00418,Lasso,0.0056930377157463855,0.26505351104569963,-0.1263714304324275,0.8164553215154825
O14578,RandomForest,-0.6112190847379393,0.7555374303851538,0.023616513302386788,0.48027875925370433
O15075,Lasso,0.2006735972162788,0.3693843091115045,0.12255190319103892,0.9380323178546816
O43318,GradientBoosting,-1.415527944474724,2.1488297840307387,0.23003506293723486,0.6438040419445938
O43353,PLS,0.6679934517577937,0.14895809462958784,0.5563545111602148,0.1798041111245264
O43683,GradientBoosting,-0.5002050773050739,0.25827258035258743,0.12467028383329437,1.1089117387714762
O60885,RandomForest,-0.8463201404937045,0.9596221476443256,0.4563060735023763,0.1726877407222925
O75385,SVR,-0.8167166271043454,0.996302646686849,-0.08397714516224286,0.44054650908486426
O75676,SVR,-1.6385217014208464,1.0773301317134818,-0.311943508975286,0.806751108919357
O76039,PLS,-0.37352079446659736,0.5311031989493205,0.10029263701515612,0.8117599133926654
O94804,GradientBoosting,-0.2569973421060757,0.3369555106079795,0.3362929774663014,0.7297618220848152
O94806,SVR,-1.8348075666942223,1.1312194301351406,0.11387057127960587,0.22374518985773692
O94921,PLS,-0.2338285787895801,0.18051917816023347,0.07288775732592556,0.242896154333071
O95819,PLS,-0.4033248077424069,0.8608905286827786,0.3790193641415254,0.8271487256896893
O95835,RandomForest,-0.8611174523440533,1.0153577668307923,0.3688761558524717,0.6878757628494669
O96013,PLS,-0.14672066213671092,0.2538540256060465,0.4359310492790608,0.6742965784844027
P00519,SVR,-0.10773329253990069,0.11121232480804014,0.08634891658024602,0.40522687811552177
P04049,ElasticNet,-0.37920327651252894,0.7455143813866518,0.10716263738708542,2.150213322687969
P04626,Lasso,-0.30309484742862436,0.3040686704840166,0.0005071152212392516,0.34928260787330123
P06493,MLP,-0.8179447315178253,0.8971866761646616,-0.19573067770136943,2.8076969341978866
P10398,Lasso,-0.39335160007930337,0.3969965734776167,-0.05122392697809386,0.18764549903367872
P11274,MLP,-0.13537723516063033,0.9995968461221796,0.26940792335601305,0.6487262450353407
P15056,SVR,-0.2389668683067451,0.21246906899866702,0.10845042083534229,2.800372232747404
P23443,SVR,0.11199032157525983,0.3686603269471984,0.23576689761325742,1.041226363874397
P27361,Lasso,-0.002134569606631875,0.4154439450532566,-0.05009886340194569,1.3735569778865595
P27448,Lasso,-0.08210675493382254,0.3143563842604374,-0.12702959082355525,1.0670413019319647
P30291,ElasticNet,-0.18054001791631663,0.4882364735964122,0.3307294519157088,0.880339528315139
P31749,MLP,-1.416134835094242,1.578030670974092,-0.01945076735727791,3.3435644647240728
P33981,Lasso,0.061973964352316745,0.0834591202699,0.10215227511702907,1.058883606985487
P42345,ElasticNet,-1.2591164304715579,2.085199709286854,-0.1795155360795555,1.0425550155143173
P48730,Lasso,0.31677021105066305,0.19989937863734297,0.15241262023261248,0.9776211678788185
P49759,ElasticNet,0.020851868026303143,0.3843443334366412,0.4773342331902052,0.3643802504367784
P49761,Lasso,-0.19680802391018815,0.05152669642486593,-0.03366339757893777,1.022209132484045
P49841,PLS,-0.6631691916506478,0.691229194970733,0.03211793481569536,1.4436371923674585
P51812,PLS,-0.41073472985895665,0.3919695821146629,0.1778465633406192,1.0159161047022756
P51957,SVR,-0.26732814470755456,0.24222382347404703,-0.06290246329633842,2.6935350960636213
P54646,RandomForest,-0.5417861314274733,0.6415925630031126,0.12180489878527889,0.5153314268924404
P78527,PLS,-0.31049472143329726,0.22151626384135117,0.24648130515281408,1.2786739932522113
Q00536,RandomForest,-0.3769730196558566,0.5301165002708468,-0.19801221171285555,0.597875872239618
Q00537,RandomForest,-0.07765109556931538,0.6645713033609079,-0.00211951447958425,0.361832466082855
Q05397,GradientBoosting,-0.1069276016034401,0.2126276290793576,0.3929844373911957,0.5132481560777812
Q05655,SVR,-0.9536375948558604,0.8470012951240579,-0.3772909104379565,1.5391743071232442
Q06187,PLS,-1.1169281656701513,1.1893679722010113,0.03218427745610164,0.4813796705389077
Q07002,ElasticNet,-0.4058386706364757,0.617821682388407,0.00985066452635086,0.40020347869651757
Q13043,RandomForest,-0.1139808041134501,0.5597486352255799,0.4000438021148899,0.6674032813607468
Q13131,RandomForest,-1.1474863933722976,1.2750435863573601,0.09139555391433829,0.8012589184025856
Q13153,RandomForest,-0.6022412866011762,0.6628415517102144,0.1775316043499796,1.6729663984148224
Q13177,MLP,-1.5986119395683303,1.8344577605514407,0.44514103331988597,0.4379788658938104
Q13233,Lasso,-0.061930890062802633,0.353357217737465,-0.147562053825393,2.5156282985866154
Q13263,Lasso,-0.509958026923823,1.1672716288792782,-0.6132153612931845,0.21832756153706173
Q13555,Lasso,-0.1637854574686372,0.2264966242136563,0.015166417020334833,0.44192959388469777
Q13627,SVR,-0.5510314436276458,0.3934021731094466,0.05642448049646864,0.8659720199279101
