UniprotID,GeneName,Perturbation,CellLine,KSEA_z_score
P12931,SRC,AZD6482,MCF7,1.4829360505073494
P12931,SRC,CAL101,MCF7,-0.18725472027805554
P12931,SRC,GDC0941,MCF7,1.30340677291814
P12931,SRC,HS173,MCF7,0.12553402356488094
P12931,SRC,PIK294,MCF7,0.8451028980919203
P12931,SRC,TGX221,MCF7,0.045112267129581614
P12931,SRC,AZD5438,MCF7,0.40063180448034874
P12931,SRC,FRAX486,MCF7,0.045850197652102805
P12931,SRC,Ku0063794,MCF7,-0.33905434354930547
P12931,SRC,PD153035,MCF7,0.7178988316053762
P12931,SRC,PF3758309,MCF7,-0.28240348981448476
P12931,SRC,Torin,MCF7,0.6267308560789491
P12931,SRC,Trametinib,MCF7,1.0174008799179004
P12931,SRC,AZD1480,MCF7,0.21130954458071788
P12931,SRC,AZD5363,MCF7,0.8065294429468332
P12931,SRC,BX912,MCF7,-1.154958865891212
P12931,SRC,CHIR99021,MCF7,-2.4298120861672166
P12931,SRC,GSK2334470,MCF7,1.1639370576549313
P12931,SRC,Ipatasertib,MCF7,0.9157857351171962
P12931,SRC,LY2090314,MCF7,-3.6416155197842617
P12931,SRC,Tofacitinib,MCF7,-0.27493807199579234
P12931,SRC,AZD8055,MCF7,0.41601293218423213
P12931,SRC,GDC0994,MCF7,-0.7295353737649393
P12931,SRC,JNK,MCF7,-0.9800549443199207
P12931,SRC,LY2584702,MCF7,-1.2302152616787163
P12931,SRC,PH797804,MCF7,0.18748249746556217
P12931,SRC,Selumetinib,MCF7,0.07186020134669571
P12931,SRC,U73122,MCF7,-0.247901663137145
P12931,SRC,Ulixertinib,MCF7,-0.7620452611007866
P12931,SRC,Amuvatinib,MCF7,-0.07292872481466374
P12931,SRC,AZD3759,MCF7,0.5000736869310994
P12931,SRC,GSK690693,MCF7,1.5949637259909129
P12931,SRC,JNJ,MCF7,0.03575380990657102
P12931,SRC,KN62,MCF7,0.6255465509881604
P12931,SRC,Linsitinib,MCF7,0.9955041073010956
P12931,SRC,LY2835219,MCF7,0.06027885559985693
P12931,SRC,Ribociclib,MCF7,1.6611574394099775
P12931,SRC,AC220,MCF7,1.208808200388516
P12931,SRC,Edelfosine,MCF7,0.35640534142586683
P12931,SRC,GF109203X,MCF7,0.8636380678554187
P12931,SRC,Go6976,MCF7,0.9292081608803731
P12931,SRC,PF4708671,MCF7,0.6748534509221171
P12931,SRC,SP600125,MCF7,0.15230225411433734
P12931,SRC,TAK715,MCF7,0.5087257932362921
P12931,SRC,TBCA,MCF7,0.7164595795639528
P12931,SRC,AT13148,MCF7,1.0435693388182714
P12931,SRC,AZ20,MCF7,0.760198159414563
P12931,SRC,AZD6738,MCF7,0.8611580572407405
P12931,SRC,Bosutinib,MCF7,-1.383741257387838
P12931,SRC,Dabrafenib,MCF7,0.9415941449020273
P12931,SRC,Dasatinib,MCF7,-0.10707844750739377
P12931,SRC,DNAPK,MCF7,0.2121536207807544
P12931,SRC,H89,MCF7,-0.7599586790461056
P12931,SRC,KD025,MCF7,2.014146061808453
P12931,SRC,NU7441,MCF7,1.606830557727755
P12931,SRC,Ripasudil,MCF7,-0.574538686720796
P12931,SRC,Vemurafenib,MCF7,0.34980102432339166
P12931,SRC,CX4945,MCF7,1.227970564471495
P12931,SRC,GO6983,MCF7,1.0483410946786786
P12931,SRC,KN93,MCF7,1.2936558049797997
P12931,SRC,MK2206,MCF7,0.8911625112617649
P00519,ABL1,AZD6482,MCF7,0.042897868006954706
P00519,ABL1,CAL101,MCF7,0.16791992615733783
P00519,ABL1,GDC0941,MCF7,0.4267467656588879
P00519,ABL1,HS173,MCF7,0.1514763971737717
P00519,ABL1,PIK294,MCF7,0.980212824323256
P00519,ABL1,TGX221,MCF7,0.13999903121875823
P00519,ABL1,AZD5438,MCF7,0.12982960868458024
P00519,ABL1,FRAX486,MCF7,-1.6280230384968541
P00519,ABL1,Ku0063794,MCF7,-0.10704323056804944
P00519,ABL1,PD153035,MCF7,0.3257005944985377
P00519,ABL1,PF3758309,MCF7,-0.8392552479294856
P00519,ABL1,Torin,MCF7,-0.10553178894392054
P00519,ABL1,Trametinib,MCF7,-0.07529966973672036
P00519,ABL1,AZD1480,MCF7,-0.9912230209466758
P00519,ABL1,AZD5363,MCF7,-0.8621944652990355
P00519,ABL1,BX912,MCF7,-0.794588372654272
P00519,ABL1,CHIR99021,MCF7,-0.08940398181419038
P00519,ABL1,GSK2334470,MCF7,0.014633712874490147
P00519,ABL1,Ipatasertib,MCF7,0.6158191533776889
P00519,ABL1,LY2090314,MCF7,-1.4281322034714206
P00519,ABL1,Tofacitinib,MCF7,-0.594110321821121
P00519,ABL1,AZD8055,MCF7,0.6592151441583695
P00519,ABL1,GDC0994,MCF7,0.7645115114916442
P00519,ABL1,JNK,MCF7,0.2447084285796936
P00519,ABL1,LY2584702,MCF7,0.3377342268085151
P00519,ABL1,PH797804,MCF7,0.22491890811212162
P00519,ABL1,Selumetinib,MCF7,-0.11202724553250318
P00519,ABL1,U73122,MCF7,0.6841847752958515
