Kinase,GeneName,Model,CV Mean R²,CV Std R²,Test R²,Test MSE
Q9UKE5,TNIK,PLS,0.9656074107999788,0.0157504413623209,0.9744400512661096,0.0197080884977329
Q96QT4,TRPM7,SVR,0.7515550977849521,0.1421062485466019,0.8753954275610664,0.2458255268680942
Q96RR4,CAMKK2,SVR,-0.1722633301576611,0.9970429975881668,0.5846816109351849,0.118887067873608
Q9H0K1,SIK2,Lasso,0.4947563972269863,0.2273943014078239,0.5657605260920362,0.6827780396517132
O43353,RIPK2,PLS,0.6679934517577937,0.1489580946295878,0.5563545111602148,0.1798041111245264
P49759,CLK1,ElasticNet,0.0208518680263031,0.3843443334366412,0.4773342331902052,0.3643802504367784
O60885,BRD4,RandomForest,-0.8463201404937045,0.9596221476443256,0.4563060735023763,0.1726877407222925
Q13177,PAK2,MLP,-1.5986119395683305,1.8344577605514407,0.4451410333198859,0.4379788658938104
O96013,PAK4,PLS,-0.1467206621367109,0.2538540256060465,0.4359310492790608,0.6742965784844027
Q96GX5,MASTL,PLS,-0.6259828675598242,0.6349770082415612,0.4134737565495869,0.1751158063078283
