Kinase,GeneName,Model,CV Mean R²,CV Std R²,Test R²,Test MSE
Q13263,TRIM28,Lasso,-0.509958026923823,1.1672716288792782,-0.6132153612931845,0.2183275615370617
Q8IVT5,KSR1,Lasso,-0.0155228585385492,0.2578333294905497,-0.4733822856550789,6.087998662496377
Q14004,CDK13,PLS,-0.5140230798606108,0.5921859882804025,-0.4230724908328869,0.6020909750370878
Q05655,PRKCD,SVR,-0.9536375948558604,0.8470012951240579,-0.3772909104379565,1.5391743071232442
Q9NYV4,CDK12,Lasso,-0.1411838660209277,0.5893563083914845,-0.3553445819367031,0.3870423450576251
O75676,RPS6KA4,SVR,-1.6385217014208464,1.0773301317134818,-0.311943508975286,0.806751108919357
Q14680,MELK,SVR,-0.0950544110584392,0.4523612498077913,-0.2122064104333831,0.2148188386393363
Q00536,CDK16,RandomForest,-0.3769730196558566,0.5301165002708468,-0.1980122117128555,0.597875872239618
P06493,CDK1,MLP,-0.8179447315178253,0.8971866761646616,-0.1957306777013694,2.8076969341978866
Q8IV63,VRK3,Lasso,-0.2362756913138076,0.2165169016545733,-0.1952593987007198,0.7970677619228251
