Kinase,Model,CV Mean R²,CV Std R²,Test R²,Test MSE
O00418,GradientBoosting,0.1575754487955241,0.5674751529246144,0.4939556470141385,4.862994960422572
O14578,GradientBoosting,-0.4272473282333287,0.3126587802221647,0.4120933941940791,0.3812438380668215
O15075,RandomForest,-0.1445776415969736,0.4571165046860955,0.4341109459689659,1.128972293305477
O43318,ElasticNet,-0.2298686381503805,0.2160704788622948,-0.0561055075806551,0.5476072719780944
O43353,PLS,0.3648877676441335,0.5308946103821317,0.8511542312171742,0.2478714918710176
O43683,Lasso,-0.0061284988508795,0.215569194472035,-0.2413196194318649,0.7496671475521268
O60885,GradientBoosting,-1.866015345260418,2.8446550898776226,0.6116581410032897,0.1998837429340617
O75385,RandomForest,-0.787703564786679,0.6528982723785295,0.2228805844298106,0.2720226550947039
O75676,SVR,-0.587329740264147,0.5733159438511723,0.2358373815297652,0.6223622733570081
O76039,RandomForest,-0.6789763216921995,0.6405736564234445,0.292430199443319,0.4608347393385841
O94804,GradientBoosting,-0.2980967040268172,0.2823083098528549,0.0309761391666177,1.315774061745608
O94806,PLS,0.1306818540339965,0.2983052163775144,0.5954461553133938,0.364352708448927
O94921,Lasso,-0.1923164441897513,0.1758818377782232,-0.1414200363997184,0.3816246348215313
O95819,RandomForest,-0.2766488204602083,0.2431742262518976,0.0996951393364939,0.7732318629437303
O95835,RandomForest,-0.3805201751715939,0.431918719927825,0.2476219562369717,0.7595509872383912
O96013,PLS,0.44478174730533,0.4044628461587766,0.6793692231983937,0.6692247118995608
P00519,PLS,-0.1385220209430289,0.2171917291436887,0.1485254110122108,0.6367077616512774
P04049,XGBoost,-3.848961793038511,6.43895048034471,-0.0241283974453445,1.4653933735821594
P04626,GradientBoosting,-1.0711132171265307,0.8779828686269084,0.1194229815014481,0.6516217162958572
P06493,MLP,-0.2911285974138443,0.2780436824400174,0.099568496931561,2.499612689223898
P10398,Lasso,-0.2602285598040944,0.4083361781816018,-0.0128407911625765,0.2693005654932979
P11274,ElasticNet,-0.4326723095672807,0.914140100970385,0.1731739895994425,0.8436924641476388
P15056,RandomForest,-1.1946519564503175,0.9953887418192274,0.1446618043898307,1.9560453303046177
P23443,ElasticNet,-0.0095638456210583,0.3858233616625307,0.2649827673913265,1.060062558443347
P27361,RandomForest,-0.3174747963314775,0.4462643657634167,0.0578970932880257,1.0756286291047783
P27448,GradientBoosting,-1.0454813679109016,2.3807945059039426,-0.1262239657035184,0.7633870224900171
P30291,XGBoost,-2.547918566187225,4.897041058502067,0.2382135953416263,1.7341070255009672
P31749,RandomForest,-0.4217512732035756,1.3669324085810957,0.2841461992338066,1.8816522146249015
P33981,SVR,-2.2745934048111134,3.180172032169309,-0.004391089990023,0.9130590835685088
P42345,SVR,-0.4850404496254407,0.2890132560461472,-0.1115982009727807,1.2222589109630193
P48730,RandomForest,-0.9906395998915224,0.8680880558868931,0.2065867948740166,0.8664167897689891
P49759,PLS,-0.8410411565786233,1.3736610072752893,0.1181864839123284,1.1104904196688004
P49761,MLP,-0.7550336867921426,0.7431981555869859,0.3216608926224797,0.7292955941794622
P49841,GradientBoosting,-1.442617703778707,2.421778241677755,0.6292427953252255,0.4289569265455257
P51812,RandomForest,-0.1198035447838664,0.2851524031206203,-0.0125137883229138,1.294725370648063
P51957,MLP,-0.0648240223601627,0.3520368234315247,-0.016801743869423,0.2755401271135136
P54646,XGBoost,-0.7911553171091759,0.4762877010363085,0.440761275808295,0.6425230228919951
P78527,RandomForest,-0.1522115159273152,0.1274101079456411,0.2483237674200316,0.5721816447056403
Q00536,RandomForest,-0.3026148269223553,0.4263523827705607,0.0125646843037467,1.0212906457703723
Q00537,SVR,-0.5304579067367214,0.5492783153076746,0.0352664600613951,0.5668117164440583
Q05397,RandomForest,-0.822068367548803,1.0223923483532915,-0.0049261244785858,0.6440487012982208
Q05655,Lasso,-0.3483365775730864,0.6205535956541873,-0.0602803704447258,1.446496543945721
Q06187,Lasso,-0.2123059360079638,0.4639608023715972,-0.1168851662239096,1.7924207406541393
Q07002,RandomForest,-0.4190000493735136,0.3122519552020888,-0.1202842332586187,0.9089848243779064
Q13043,GradientBoosting,-0.99609168914318,1.2826421096432117,0.6674512684984186,0.5072252685164911
Q13131,MLP,-0.4515462898714991,0.7909837711601921,-0.0049776455195271,1.2684051801253664
Q13153,SVR,-0.1914148235149073,0.2691405371727058,-0.0191327770182525,1.7508006230188482
Q13177,SVR,-0.6500156031973646,0.4247908627747258,0.027808905527626,0.8755773901761141
Q13233,Lasso,-0.3267531322033002,0.4448263597981066,0.0128723814167983,1.6639287420215765
Q13263,GradientBoosting,-0.4377251320318008,0.6574955180897009,0.1726524545648418,0.2976693237833456
Q13555,ElasticNet,0.0606177166722354,0.2888298443519758,0.2172707402732376,1.5043660336839793
Q13627,MLP,-0.5694659615907854,0.3599059118807556,-0.2656334833232523,1.2830112770544324
Q14004,ElasticNet,-0.1580335487081537,0.3246885334411068,0.0734952958976595,0.790582471164586
