UniprotID,GeneName
P06239,LCK
P12931,SRC
P06241,FYN
P00519,ABL1
P24941,CDK2
O14757,CHEK1
Q96GD4,AURKB
P06493,CDK1
O15530,PDPK1
P07949,RET
O43318,MAP3K7
Q04759,PRKCQ
O14920,IKBKB
O60674,JAK2
O96017,CHEK2
Q13315,ATM
P33981,TTK
P53350,PLK1
Q9UQM7,CAMK2A
P27361,MAPK3
P28482,MAPK1
P00533,EGFR
P17252,PRKCA
P68400,CSNK2A1
P49840,GSK3A
P49841,GSK3B
P06213,INSR
Q8TAS1,UHMK1
P31751,AKT2
Q13153,PAK1
Q16539,MAPK14
P50613,CDK7
Q8IVT5,KSR1
O75914,PAK3
P78527,PRKDC
P04626,ERBB2
P04629,NTRK1
Q8IW41,MAPKAPK5
Q99986,VRK1
Q92630,DYRK2
Q9H2X6,HIPK2
O14965,AURKA
P53355,DAPK1
P49137,MAPKAPK2
Q9UBS0,RPS6KB2
Q15139,PRKD1
P45983,MAPK8
P45984,MAPK9
Q05655,PRKCD
P41240,CSK
P09619,PDGFRB
P30291,WEE1
Q9BUB5,MKNK1
Q9HBH9,MKNK2
P07333,CSF1R
P25098,GRK2
P34947,GRK5
P08069,IGF1R
P48729,CSNK1A1
P07948,LYN
Q15118,PDK1
Q15119,PDK2
Q15120,PDK3
Q16654,PDK4
P08581,MET
Q02156,PRKCE
P08631,HCK
Q13464,ROCK1
Q13976,PRKG1
P09769,FGR
P23443,RPS6KB1
P11362,FGFR1
P05771,PRKCB
Q05397,PTK2
P48730,CSNK1D
Q00535,CDK5
Q13164,MAPK7
O43293,DAPK3
O43781,DYRK3
P51812,RPS6KA3
Q15349,RPS6KA2
Q16566,CAMK4
Q13535,ATR
O15264,MAPK13
P29597,TYK2
Q15418,RPS6KA1
P17948,FLT1
Q00526,CDK3
P43405,SYK
P45985,MAP2K4
O15111,CHUK
P22455,FGFR4
P07947,YES1
P42345,MTOR
P53667,LIMK1
P53671,LIMK2
Q15569,TESK1
Q96S53,TESK2
Q13177,PAK2
P50750,CDK9
P49674,CSNK1E
Q02750,MAP2K1
P11802,CDK4
P35916,FLT4
P43403,ZAP70
P23458,JAK1
P11309,PIM1
Q8TDC3,BRSK1
Q9H4B4,PLK3
P32298,GRK4
Q13418,ILK
Q05513,PRKCZ
P57059,SIK1
Q96QT4,TRPM7
P35968,KDR
P37173,TGFBR2
Q99683,MAP3K5
Q9Y463,DYRK1B
Q9UM73,ALK
P51617,IRAK1
Q06187,BTK
O14733,MAP2K7
Q13882,PTK6
Q13627,DYRK1A
Q2M2I8,AAK1
O94804,STK10
P04049,RAF1
P41279,MAP3K8
O75582,RPS6KA5
Q14164,IKBKE
Q9UHD2,TBK1
Q00534,CDK6
P42681,TXK
Q92918,MAP4K1
Q9H422,HIPK3
P53778,MAPK12
Q14289,PTK2B
O00238,BMPR1B
P36897,TGFBR1
Q15831,STK11
P52564,MAP2K6
P07332,FES
P17612,PRKACA
P29320,EPHA3
P54764,EPHA4
P29322,EPHA8
P22607,FGFR3
P10721,KIT
Q04912,MST1R
Q08881,ITK
Q02763,TEK
P54753,EPHB3
P49759,CLK1
Q9NWZ3,IRAK4
P52333,JAK3
Q12866,MERTK
Q16659,MAPK6
Q9UKI8,TLK1
Q99558,MAP3K14
P19525,EIF2AK2
P51955,NEK2
P24723,PRKCH
Q9HC98,NEK6
Q9BWU1,CDK19
P43250,GRK6
Q9BQI3,EIF2AK1
Q9NZJ5,EIF2AK3
Q14012,CAMK1
Q15835,GRK1
P29323,EPHB2
P51451,BLK
P16234,PDGFRA
Q13523,PRP4K
Q5S007,LRRK2
P31152,MAPK4
Q15759,MAPK11
Q16584,MAP3K11
P35626,GRK3
P42680,TEC
Q5VT25,CDC42BPA
P46734,MAP2K3
Q13237,PRKG2
P53779,MAPK10
Q07912,TNK2
Q13043,STK4
O75116,ROCK2
Q8TD19,NEK9
Q96RG2,PASK
Q9P286,PAK5
Q9UBE8,NLK
Q9H4A3,WNK1
O60285,NUAK1
P42684,ABL2
P05129,PRKCG
P41743,PRKCI
Q9BZL6,PRKD2
Q9UIK4,DAPK2
Q9UPZ9,CILK1
Q15208,STK38
Q9Y2H1,STK38L
Q9Y6E0,STK24
P51813,BMX
Q8N5S9,CAMKK1
P29317,EPHA2
Q13233,MAP3K1
Q12851,MAP4K2
P36888,FLT3
P31749,AKT1
P78362,SRPK2
O96013,PAK4
Q86UE8,TLK2
O00141,SGK1
P49336,CDK8
Q9NYY3,PLK2
O00444,PLK4
Q86Y07,VRK2
Q16644,MAPKAPK3
Q9H0K1,SIK2
P54646,PRKAA2
Q7KZI7,MARK2
Q96BR1,SGK3
Q13555,CAMK2G
Q9H093,NUAK2
Q13188,STK3
O94921,CDK14
O00311,CDC7
Q15746,MYLK
Q32MK0,MYLK3
Q8NG66,NEK11
Q14680,MELK
Q96J92,WNK4
Q8NE63,HIPK4
P51817,PRKX
Q09013,DMPK
P49760,CLK2
Q13557,CAMK2D
Q13554,CAMK2B
Q9UQB9,AURKC
Q5TCY1,TTBK1
Q9P0L2,MARK1
P21675,TAF1
O75676,RPS6KA4
Q9NRM7,LATS2
O95835,LATS1
Q96RR4,CAMKK2
Q99640,PKMYT1
Q08345,DDR1
Q8IZL9,CDK20
Q8IU85,CAMK1D
Q9NYL2,MAP3K20
O75716,STK16
Q7L7X3,TAOK1
P36507,MAP2K2
Q8N4C8,MINK1
P36896,ACVR1B
P16591,FER
P42685,FRK
Q13131,PRKAA1
Q9NYV4,CDK12
P15735,PHKG2
Q16816,PHKG1
Q9HCP0,CSNK1G1
Q9Y4A5,TRRAP
P00540,MOS
Q9UL54,TAOK2
Q96GX5,MASTL
Q9BXA7,TSSK1B
P19784,CSNK2A2
Q16512,PKN1
O43683,BUB1
Q9Y243,AKT3
Q9P2K8,EIF2AK4
Q13163,MAP2K5
O14578,CIT
P15056,BRAF
Q9H2K8,TAOK3
