UniprotID,GeneName,Perturbation,CellLine,KSEA_z_score
P12931,SRC,AZD6482,NTERA2,1.8120984013305013
P12931,SRC,CAL101,NTERA2,1.146268935639134
P12931,SRC,GDC0941,NTERA2,1.631653197692287
P12931,SRC,HS173,NTERA2,1.7448425253394528
P12931,SRC,PIK294,NTERA2,-0.22849858863891417
P12931,SRC,TGX221,NTERA2,2.3783270610390095
P12931,SRC,CX4945,NTERA2,-1.163378595006103
P12931,SRC,GO6983,NTERA2,-0.9490714941210489
P12931,SRC,KN93,NTERA2,-0.8715974741122962
P12931,SRC,MK2206,NTERA2,-1.0292742533880979
P12931,SRC,AZD5438,NTERA2,0.2696874162077504
P12931,SRC,FRAX486,NTERA2,0.7136367091998778
P12931,SRC,Ku0063794,NTERA2,1.0383066216135066
P12931,SRC,PD153035,NTERA2,0.9103373514953655
P12931,SRC,PF3758309,NTERA2,0.5587170955519201
P12931,SRC,Torin,NTERA2,0.670991819180358
P12931,SRC,Trametinib,NTERA2,1.5514337123002038
P12931,SRC,AZD1480,NTERA2,-0.18272991949665984
P12931,SRC,AZD5363,NTERA2,0.6987080693354507
P12931,SRC,BX912,NTERA2,0.4838110577265852
P12931,SRC,CHIR99021,NTERA2,-1.422459830901767
P12931,SRC,GSK2334470,NTERA2,-1.3483285489419041
P12931,SRC,Ipatasertib,NTERA2,-0.605792207017952
P12931,SRC,LY2090314,NTERA2,-3.3011371538745156
P12931,SRC,Tofacitinib,NTERA2,0.2921192320934538
P12931,SRC,AZD8055,NTERA2,0.6504360341808711
P12931,SRC,GDC0994,NTERA2,-0.8729820665505723
P12931,SRC,JNK,NTERA2,-0.39163236483585406
P12931,SRC,LY2584702,NTERA2,0.19880997066290712
P12931,SRC,PH797804,NTERA2,0.02587744772180227
P12931,SRC,Selumetinib,NTERA2,0.274838041430627
P12931,SRC,U73122,NTERA2,0.12408863285469685
P12931,SRC,Ulixertinib,NTERA2,-0.5745553300501289
P12931,SRC,Amuvatinib,NTERA2,1.4961430847709325
P12931,SRC,AZD3759,NTERA2,0.846154928779796
