Kinase,GeneName,Model,CV Mean R²,CV Std R²,Test R²,Test MSE
Q9Y3S1,WNK2,SVR,-0.1550722841880739,0.563966220518266,-0.4011319740563741,3.4453130110189902
Q9H4A3,WNK1,SVR,-1.1250719853072766,1.01345724724661,-0.3862300121647912,2.590477822376272
Q13627,DYRK1A,MLP,-0.5694659615907854,0.3599059118807556,-0.2656334833232523,1.2830112770544324
O43683,BUB1,Lasso,-0.0061284988508795,0.215569194472035,-0.2413196194318649,0.7496671475521268
Q9HBH9,MKNK2,Lasso,-1.197953918797403,1.715731801163103,-0.1691800010149469,1.2388270488544404
Q9HAZ1,CLK4,SVR,-0.2211572288843009,0.2238754408615898,-0.1585268648889408,1.9884658956724808
Q8IV63,VRK3,MLP,-0.0553770069152302,0.2074349349316693,-0.1451632917085106,1.230755714493379
O94921,CDK14,Lasso,-0.1923164441897513,0.1758818377782232,-0.1414200363997184,0.3816246348215313
P27448,MARK3,GradientBoosting,-1.0454813679109016,2.3807945059039426,-0.1262239657035184,0.7633870224900171
Q07002,CDK18,RandomForest,-0.4190000493735136,0.3122519552020888,-0.1202842332586187,0.9089848243779064
