UniprotID,GeneName,TotalPhosphosites,TargetPhosphositeCount,AutophosphorylationCount,AutophosphorylationSites,Autophosphorylation
P06239,LCK,6,204,0,[],No
P12931,SRC,17,947,0,[],No
P06241,FYN,13,332,0,[],No
P00519,ABL1,37,320,0,[],No
P24941,CDK2,9,1216,0,[],No
O14757,CHEK1,16,245,0,[],No
Q96GD4,AURKB,8,281,0,[],No
P06493,CDK1,12,1262,0,[],No
O15530,PDPK1,26,98,0,[],No
P07949,RET,16,28,0,[],No
O43318,MAP3K7,11,85,0,[],No
Q04759,PRKCQ,6,72,0,[],No
O14920,IKBKB,24,128,0,[],No
O60674,JAK2,21,96,0,[],No
O96017,CHEK2,41,116,0,[],No
Q13315,ATM,12,525,0,[],No
P33981,TTK,42,57,0,[],No
P53350,PLK1,14,390,0,[],No
Q9UQM7,CAMK2A,7,238,0,[],No
P27361,MAPK3,9,748,0,[],No
P28482,MAPK1,11,966,0,[],No
P00533,EGFR,36,262,0,[],No
P17252,PRKCA,7,1044,0,[],No
P68400,CSNK2A1,15,985,0,[],No
P49840,GSK3A,4,133,0,[],No
P49841,GSK3B,18,1221,0,[],No
P06213,INSR,24,227,0,[],No
Q8TAS1,UHMK1,0,41,0,[],No
P31751,AKT2,4,149,0,[],No
Q13153,PAK1,25,171,0,[],No
Q16539,MAPK14,4,742,0,[],No
P50613,CDK7,3,249,0,[],No
Q8IVT5,KSR1,13,20,0,[],No
O75914,PAK3,5,15,0,[],No
P78527,PRKDC,13,323,0,[],No
P04626,ERBB2,23,36,0,[],No
P04629,NTRK1,17,21,0,[],No
Q8IW41,MAPKAPK5,6,60,0,[],No
Q99986,VRK1,6,56,0,[],No
Q92630,DYRK2,16,69,0,[],No
Q9H2X6,HIPK2,16,66,0,[],No
O14965,AURKA,18,149,0,[],No
P53355,DAPK1,6,36,0,[],No
P49137,MAPKAPK2,9,122,0,[],No
Q9UBS0,RPS6KB2,9,22,0,[],No
Q15139,PRKD1,16,111,0,[],No
P45983,MAPK8,11,559,0,[],No
P45984,MAPK9,5,339,0,[],No
Q05655,PRKCD,32,364,0,[],No
P41240,CSK,3,104,0,[],No
P09619,PDGFRB,18,44,0,[],No
